route,plate,station,time,district,lat,lon
Route 1,津AZ5735,金冠里,6:37,南开区,39.096844,117.132284
Route 1,津AZ5735,佟楼,6:50,河西区,39.098697,117.192297
Route 1,津AZ5735,友谊路,6:58,河西区,39.1026,117.205
Route 1,津AZ5735,南楼,7:06,河西区,39.095414,117.217518
Route 1,津AZ5735,历史博物馆,7:11,河西区,39.0892,117.2086
Route 1,津AZ5735,中山门2号路,7:13,河东区,39.0965,117.289
Route 2,津AX6166,西横堤地铁站,6:35,北辰区,39.1815,117.138
Route 2,津AX6166,佳园里,6:37,北辰区,39.1775,117.152
Route 2,津AX6166,天穆骨科医院,6:47,北辰区,39.17,117.159
Route 2,津AX6166,仓联庄,6:57,北辰区,39.167,117.187
Route 2,津AX6166,建昌道,7:02,河北区,39.161,117.222
Route 3,津AZ9331,水游城,6:50,南开区,39.1361,117.1669
Route 3,津AZ9331,鼓楼,6:55,南开区,39.136028,117.174861
Route 3,津AZ9331,民权门桥,7:12,河北区,39.1625,117.239
Route 3,津AZ9331,桥园里,7:14,东丽区,39.15,117.27
Route 3,津AZ9331,金钟河大街地铁站,7:17,河北区,39.166,117.258
Route 4,津AZ5729,烈士路,6:39,南开区,39.1358,117.1515
Route 4,津AZ5729,南丰路,6:47,南开区,39.1185,117.164
Route 4,津AZ5729,今晚报大厦,6:52,南开区,39.1227,117.176
Route 4,津AZ5729,耀华中学,7:02,和平区,39.1175,117.19444
Route 4,津AZ5729,大光明桥公交站,7:07,和平区,39.124,117.2169
Route 4,津AZ5729,翠阜新村,7:16,河东区,39.126,117.265
Route 5,津AX6133,华苑路站,6:46,南开区,39.086125,117.122244
Route 5,津AX6133,彩虹花园,6:51,南开区,39.0804,117.1547
Route 5,津AX6133,中石油桥,6:57,河西区,39.0747,117.1815
Route 5,津AX6133,洪泽路,7:05,河西区,39.0778,117.2225
Route 5,津AX6133,崂山道,7:16,河东区,39.106,117.284
Route 5,津AX6133,屿东城,7:19,东丽区,39.112,117.333
Route 6,津AZ9383,双山里,6:45,河西区,39.0552,117.2645
Route 6,津AZ9383,雅致里,6:50,河西区,39.063,117.2734
Route 6,津AZ9383,詹庄子,7:07,东丽区,39.095,117.32
Route 7,津AZ5683,田园小区,6:50,北辰区,39.202,117.182
Route 7,津AZ5683,张兴庄,6:58,北辰区,39.198,117.218
Route 7,津AZ5683,正义道公交站,7:09,河北区,39.155,117.246
Route 7,津AZ5683,靖江路地铁站,7:18,河东区,39.136,117.259
Route 7,津AZ5683,于明庄站,7:26,东丽区,39.117,117.332
Route 8,津AZ5736,密云路,6:32,南开区,39.1328,117.1263
Route 8,津AZ5736,芥园里,6:34,南开区,39.1376,117.148
Route 8,津AZ5736,千禧园,6:40,红桥区,39.152,117.156
Route 8,津AZ5736,水木天城,6:42,红桥区,39.154,117.166
Route 8,津AZ5736,光荣道,6:45,红桥区,39.17,117.16
Route 8,津AZ5736,红桥医院,6:50,红桥区,39.159,117.165
Route 8,津AZ5736,勤俭桥,6:54,红桥区,39.166,117.174
Route 8,津AZ5736,白庙,6:57,河北区,39.186,117.214
Route 汉沽,津AZ5781,力高理想海公交站,6:20,滨海新区,39.233,117.802
Route 汉沽,津AZ5781,建设路公交站,6:30,滨海新区,39.233,117.792
Route 汉沽,津AZ5781,红霞里公交站,6:33,滨海新区,39.225,117.787
Route 汉沽,津AZ5781,广播电视公交站,6:36,滨海新区,39.22,117.783
Route 汉沽,津AZ5781,汉华世家,6:39,滨海新区,39.214,117.785
Route 汉沽,津AZ5781,华城公邸,6:42,滨海新区,39.21,117.79
Route 汉沽,津AZ5781,法院,6:46,滨海新区,39.204,117.793
Route 塘沽,津AZ5728,花园里,6:45,滨海新区,39.034,117.652
Route 塘沽,津AZ5728,宏达公寓,6:51,滨海新区,39.04,117.664
Route 塘沽,津AZ5728,大五金,6:53,滨海新区,39.0415,117.676
Route 塘沽,津AZ5728,众智园,6:55,滨海新区,39.044,117.686
Route 塘沽,津AZ5728,远洋城,7:07,滨海新区,39.056,117.706
Route 塘沽,津AZ5728,六道沟,7:10,滨海新区,39.058,117.716
Route 开发区,津AZ5685,生态城健身中心站,6:17,滨海新区,39.176,117.788
Route 开发区,津AZ5685,宝龙城公交站,6:31,滨海新区,39.112,117.781
Route 开发区,津AZ5685,太湖路地铁站,6:53,滨海新区,39.03,117.708
Route 开发区,津AZ5685,泰达足球场公交站,6:57,滨海新区,38.998,117.703
Route 开发区,津AZ5685,河北路鸿起顺,7:11,滨海新区,39.028,117.669
Route 开发区,津AZ5685,桃园官邸公交站,7:18,滨海新区,39.021,117.653
Route 空港华明,津AZ5662,华明镇（德园公交站）,7:10,东丽区,39.149,117.431
Route 空港华明,津AZ5662,华明镇（泽园公交站）,7:15,东丽区,39.152,117.439
Route 空港华明,津AZ5662,东七道航宇路,7:35,东丽区,39.165,117.456
